mu,omega,alpha1,beta1,shape,tick,ar1,ar2,ma1,ma2,alpha2,beta2,gamma1,ma3,skew,ar3,gamma2,ar4,eta11,eta21,ma4,ma5,label
-0.00411443968429055,2.93701822358963e-06,8.74791200807216e-09,0.998999955110631,5.39936849439089,A,,,,,,,,,,,,,,,,,2002
-0.00135395149569189,5.83728595039888e-05,0.0547713497802176,0.877706804796106,6.69056452318838,AAPL,-0.0361388801976571,-0.0885259478767928,,,,,,,,,,,,,,,2002
-0.00080222767966997,1.22810415174591e-05,0.0604194349724334,0.938580564531,3.18633587617216,ABT,1.48794202917437,-0.907893848301522,-1.48851640857076,0.863945215210757,,,,,,,,,,,,,2002
0.000738929985261239,5.26095660530107e-05,0.147070151695154,0.716759101395709,6.83534628046274,ACGL,,,,,,,,,,,,,,,,,2002
-0.00105699117830836,0.000158633392258687,0.040410977756127,0.80355395505153,4.14430526699162,ACN,,,,,0.0534377850985951,,,,,,,,,,,,2002
-0.00173315269328742,0.000662383850264494,0.0536303397519451,6.50249929262713e-10,4.84650552421602,ADBE,,,,,,0.46243578322771,0.186296590870041,,,,,,,,,,2002
-0.0037579303755029,0.000101681870703655,0.105003099325224,0.838180837166113,37.4920073493739,ADI,,,,,,,,,,,,,,,,,2002
2.22269858859804e-05,4.14321117773547e-08,7.72094501955975e-09,0.998999990441353,7.05659042746335,ADM,,,,,,,,,,,,,,,,,2002
-0.00199793899987184,0.00010503812622655,0.235434318485448,0.626274165471364,4.29269273702598,ADP,,,-0.103608137449165,,,,,,,,,,,,,,2002
-0.000857398879116481,0.000155114409377132,0.230086866255121,0.704522099852218,3.2524718972258,ADSK,,,,,,,,,,,,,,,,,2002
0.000400456009061315,1.79981066985664e-05,0.223871111510184,0.700359107621218,6.3837212493401,AEE,,,-0.126332520465796,,,,,,,,,,,,,,2002
0.000405745216535917,1.6431743415049e-05,0.272775607817869,0.726224376832928,5.98047760385878,AEP,,,,,,,,,,,,,,,,,2002
-0.00666237823345019,0.00269001136476603,0.840473558587233,0.158526261689003,3.47588733878489,AES,,,0.121166293390729,,,,,,,,,,,,,,2002
0.000878842536438412,6.5026439412235e-05,0.137978870595442,0.727465906376309,7.95725620966426,AFL,-0.176206981455821,0.686694363179688,0.0609246508591012,-0.778774436990701,,,,0.0713816549398055,1.27179836220918,,,,,,,,2002
-0.00305233078889331,2.6857144606289e-05,1.05690004725762e-08,0.811874805646441,27.3803274705413,AIG,,,,,,,0.374250347407846,,,,,,,,,,2002
-4.76814082165888e-05,0.000133076833414171,0.253615984796663,0.460226473166643,7.34036808119092,AJG,0.538711807886414,,-0.563396796943987,-0.0631231174266884,,,,,,,,,,,,,2002
-0.00976562539029645,0.000550676382226269,0.210375884073925,0.689588693325373,7.2934119865191,AKAM,,,0.231750774254675,,,,,,,,,,,,,,2002
0.000747780742455592,6.93020211139328e-05,0.0904088319378782,0.754397503895919,15.0056571342919,ALB,-0.25167259744755,,,,,,,,,,,,,,,,2002
-0.0014328012922201,0.000306920690050554,0.135185199540191,0.825022005904564,3.81010678969904,ALGN,,,,,,,,,,,,,,,,,2002
-0.00237064200941959,3.56874517821975e-05,0.0838929212511289,0.883154550319801,7.38389908355516,ALK,,,-0.147270886531271,,,,,,,,,,,,,,2002
-0.000420390625353543,2.0940118017756e-05,0.146073392591728,0.763005040972752,13.3211393724899,ALL,,,,,,,,,,,,,,,,,2002
-0.00075957936256384,0.000106076881552086,2.27002733568117e-09,0.841936425704746,45.9735781483083,AMAT,,,-0.14095933726705,,0.103264994474439,,,,1.20773909547224,,,,,,,,2002
-0.00563611366020521,0.000130136528803942,0.0468160254118189,0.919684604095501,3.57899185166991,AMD,0.0221873194446262,0.0519658037527567,,,,,,,,-0.132006416522216,,,,,,,2002
0.00054488112728816,6.99999078280135e-07,2.44378929259834e-08,0.998999907890103,14.4824029035141,AME,,,,,,,,,,,,,,,,,2002
-0.000438878887465671,3.92277072257188e-05,0.13009878549858,0.832200410540902,13.9721571675607,AMGN,,,,,,,,,,,,,,,,,2002
-0.00893778384443312,0.000577287751452919,0.185403335615235,0.763806460658406,4.72477906402633,AMT,,,0.0713572715151239,0.102659862277406,,,,0.0711750725402426,,,,,,,,,2002
0.00168545945905685,3.0101159578133e-05,0.0262569196304633,0.954949598928995,5.00576932047981,AMZN,,,,,,,,,,,,,,,,,2002
-0.000610475315238931,0.000431433747795478,0.23497421730266,0.477648622588031,99.9999764220843,ANSS,,,,,,,,,,,,,,,,,2002
-0.000804491420721549,0.00017034244848602,0.455903431873945,0.522050501240048,2.86823693821924,AON,,,,,,,,,,,,,,,,,2002
0.000209487029798299,7.67336832303842e-07,0.00110955781263737,0.819837829202552,4.41032397324121,AOS,,,,,0.00071618677465745,0.203138643034284,0.208219905007006,,,,-0.266163294075971,,,,,,2002
