mu,ma1,ma2,ma3,omega,alpha1,beta1,shape,tick,ar1,ar2,ar3,eta11,eta21,ma4,ma5,gamma1,alpha2,gamma2,skew,beta2,ar4,ar5,ar6,label
-0.00152384324182175,-0.093586943593513,-0.0911737757878705,0.0513199463851162,1.59737224331836e-05,0.120197590287977,0.863355003074848,7.38480015795018,A,,,,,,,,,,,,,,,,2008
-0.00510695063170596,,,,0.000384832490672509,0.158832665418163,0.811652046442099,5.91039401775732,AAL,,,,,,,,,,,,,,,,2008
-0.00187747498063489,-0.933642251747336,0.0815378618272899,,3.37145666284679e-05,0.0773175858955634,0.891843709242876,7.83960987110346,AAPL,0.793543623126633,0.0303224869279113,0.0726335835440223,,,,,,,,,,,,,2008
-0.000481725956935144,,,,2.23197302852561e-05,0.0725765795200587,0.858371479136757,5.25892749220875,ABT,-0.120314970168546,-0.0890212977198673,,,,,,,,,,,,,,2008
1.39202301363031e-05,,,,6.39378818617326e-06,0.0970753281800699,0.220668564451822,5.60286674960786,ACGL,,,,0.988408891171883,0.0941569186053902,,,,,,,,,,,2008
0.000366247732817822,-0.105465471829903,-0.0362317948647338,,1.62218532817806e-05,0.121812491289811,0.85918681001142,10.426276265364,ACN,,,,,,,,,,,,,,,,2008
-0.000465002963073012,-0.073081721518953,-0.0828911524804625,0.0497107113003197,3.16288595690371e-05,0.134176597982081,0.839343368506895,8.98176013610718,ADBE,,,,,,,,,,,,,,,,2008
-0.000631235765325156,,,,4.1625129123966e-06,0.0388739948338202,0.960125988162157,5.84383446425599,ADI,-0.15010249536205,-0.0827918435395374,0.0862935009369738,,,,,,,,,,,,,2008
-0.0020248934189818,-0.0500449637305802,-0.0531185415326635,,5.06608442267221e-05,0.113419316104575,0.862640337808043,4.10253175274149,ADM,,,,,,,,,,,,,,,,2008
0.000209364279091437,-0.639181073602245,-0.0221032392659527,0.150391113806269,1.43358823820593e-05,0.141411869974616,0.827951414244672,9.88759055215376,ADP,0.511842056570506,,,,,-0.132864576676142,,,,,,,,,,2008
