mu,ar1,ar2,ma1,ma2,omega,alpha1,beta1,shape,tick,skew,beta2,alpha2,gamma1,gamma2,ma3,ma4,ar3,eta11,eta21,ar4,ar5,ar6,label
0.00119227201087196,-0.977655563184146,-0.369800721452784,0.747260835329527,0.216559210095191,2.29470947372958e-08,8.03850830616104e-09,0.998999986634917,4.6729895137574,A,,,,,,,,,,,,,,2017
0.000607257297177409,,,,,3.87170743050231e-08,4.81590684448403e-09,0.998999993835439,6.37088390020894,AAL,,,,,,,,,,,,,,2017
0.00253116133277656,,,,,4.35384009826367e-06,1.00778382664686e-09,0.996244054348486,2.22752997475535,AAPL,1.25116325045172,,,,,,,,,,,,,2017
0.00140273803535772,,,0.0228248631633252,,5.7008582510564e-06,0.100727348216104,0.0730611798791058,3.68612033596297,ABBV,,0.785052637720547,,,,,,,,,,,,2017
0.00160518509576385,0.546680067833433,,-0.627724765050069,0.134996915170164,1.01011109809793e-07,5.20317677756976e-07,0.998999140079227,12.0789191709993,ABT,,,,,,,,,,,,,,2017
0.000804271525966687,,,,,1.24804991722727e-07,1.04301949026383e-08,0.996334538206752,3.68517325058005,ACGL,,,7.49297568680312e-09,0.374270295805126,-0.368939423531919,,,,,,,,,2017
0.0014145706206946,,,-0.148795394455379,,7.66641636655425e-15,0.000176130981161283,0.998548625254642,5.73994956889081,ACN,,,,,,,,,,,,,,2017
0.0021076939163852,,,,,2.25650636863885e-05,0.218293848661688,0.75459171104116,2.54984384527963,ADBE,,2.04342680395878e-08,,,,,,,,,,,,2017
0.000999638443865303,,,,,1.09873322491828e-05,0.126244877941157,0.837682625865844,3.65287486102174,ADI,,,,,,,,,,,,,,2017
-3.56590173945622e-05,,,,,2.59598938655271e-09,1.27578096419761e-08,0.998999975789041,3.68143863229931,ADM,,,,,,,,,,,,,,2017
0.000951185814983438,,,,,2.12841665592021e-05,0.0486453257878422,0.784947490423796,3.26468048358862,ADP,,,,,,,,,,,,,,2017
0.00211344910875829,,,,,3.94875246972043e-12,0.00340503140862749,0.99254524181297,3.40092964237459,ADSK,,,,,,,,,,,,,,2017
0.000683752089417701,,,,,6.44798843046863e-08,1.67642887631307e-06,0.998997214306333,17.3293614131577,AEE,,,,,,,,,,,,,,2017
0.000722066475245733,,,,,4.2029403239086e-08,1.30412360206526e-07,0.998999763338202,10.6631920051062,AEP,0.882669094344137,,,,,,,,,,,,,2017
-0.000205414657240702,,,-0.185998555583571,,4.17515982343729e-07,0.00377010664798485,0.991386641227136,7.82923056829517,AES,,,,,,,,,,,,,,2017
0.00116440231687445,,,,,6.6305720588606e-08,0.000405117310150921,0.997477334320801,4.39287355172325,AFL,,,,,,,,,,,,,,2017
3.7766922435049e-05,,,-0.0687397470772742,,1.52091917433216e-07,0.000140556126247097,0.996945921991992,4.08310471195718,AIG,,,,,,,,,,,,,,2017
0.000379998765524653,,,,,4.6933225129217e-08,3.33192362351247e-10,0.998999974119753,3.19354983069339,AIZ,,,,,,,,,,,,,,2017
0.00094320050568448,,,-0.0723066476572243,,4.54818123173217e-08,2.76111150146945e-06,0.998993410223624,7.88070708777174,AJG,,,,,,,,,,,,,,2017
0.00172064355033393,-0.860468855787474,,0.842729318882069,-0.0510050435467548,2.04516890958913e-05,0.00872526526476926,0.973448889586104,2.1489925799647,AKAM,,,,,,,,,,,,,,2017
0.00196126652892326,,,,,3.42833837513136e-05,0.102388960832617,0.759379133626205,3.60358416103801,ALB,,,,,,,,,,,,,,2017
0.00310533361355946,,,-0.186583200725329,,9.79839558002103e-05,0.0747243613994209,0.750288035759845,2.48005964321671,ALGN,,,,,,,,,,,,,,2017
2.13119461685474e-05,,,,,6.8121779903705e-07,0.000168141676993407,0.997312330000675,3.75737682499092,ALK,,,,,,,,,,,,,,2017
0.00113438406556382,,,,,2.19064732592677e-07,0.000178115205590019,0.996749121807616,3.19951582916826,ALL,,,0.000148111363352202,,,,,,,,,,,2017
0.00120919247161563,0.0066730504189077,-0.167077272949348,,,2.06078342168995e-07,6.67465821079166e-05,0.996860574474713,4.36178142579807,ALLE,,,7.4725281378101e-05,0.144614168262025,-0.144283227436653,,,,,,,,,2017
0.00288664106364627,,,-0.121682431517156,,3.73444243106214e-06,0.0475626903953112,0.947816873635924,4.27221436284893,AMAT,,,9.42362922562606e-08,,,,,,,,,,,2017
-6.17863376085948e-05,,,,,2.7238133983265e-07,3.74253901604875e-08,0.983635459500628,2.8422298523243,AMD,,,0.0153644491226938,,,,,,,,,,,2017
0.00130211268002433,-1.68053991322362,-0.833212844457625,1.59247105205754,0.721172663239214,4.03618202118708e-13,0.000115005055497635,0.998804021306019,5.87188786634462,AME,,,,,,-0.0308694903329932,,,,,,,,2017
0.000647714691786523,0.886478560773549,,-0.863077430941384,,1.52887790827281e-13,1.49476916012529e-05,0.998910444802179,4.84960305998012,AMGN,,,,,,,,,,,,,,2017
0.00172892682430311,,,,,6.04114814734849e-13,0.000129425549850583,0.998643416414092,5.493773931727,AMP,,,,,,,,,,,,,,2017
0.00128055919008042,,,-0.065086337385573,0.127893883162621,1.84885377683544e-07,1.88019906976013e-08,0.998999970294578,4.78474845527072,AMT,,,,,,-0.0333948411941984,-0.132486690542507,,,,,,,2017
0.00168413125370197,,,,,2.86642178218601e-07,1.65174480218991e-08,0.998999778943644,3.11973461708103,AMZN,,,,,,,,,,,,,,2017
0.00347685422737528,,,,,7.01487290682469e-06,3.15578952752901e-09,0.998999989989071,2.175383559161,ANET,,,,,,,,,,,,,,2017
0.00197783054443011,,,,,5.60820959492664e-16,0.0117726855870104,0.985725501287251,2.30921807438616,ANSS,,0.0245008692621294,,-0.0589886663724214,,,,,,,,,,2017
0.00149061992285206,,,,,2.1416101965789e-06,0.0319027135927317,0.936545705633475,4.02596449322465,AON,,,,,,,,,,,,,,2017
0.00122079575691606,,,,,6.73711356964661e-09,2.4809027973446e-06,0.998997281891241,8.15132816105064,AOS,,,,,,,,,,,,,,2017
-0.00156387960140482,,,,,1.3668421836249e-06,4.43535089236483e-06,0.998957000059706,3.67383103549222,APA,,,,,,,,,,,,,,2017
0.00034188580833765,,,-0.108988245721826,-0.113284940691347,4.91493892147807e-14,0.000271874667006742,0.997052132674893,4.27132178589465,APD,,,,,,,,,,,,,,2017
0.00120696176319858,-0.225594349378109,,,,5.98028680276199e-08,0.000277145157673619,0.999922640536352,9.14868664522782,APH,,,,-0.00255108646067146,,,,,,,,,,2017
