mu,ar1,ar2,ar3,ma1,ma2,ma3,omega,alpha1,beta1,gamma1,skew,shape,tick,ma4,ma5,eta11,eta21,ar4,ar5,ar6,ar7,alpha2,beta2,gamma2,ar8,ar9
0.0011891507010387,-0.93157868140517,-1.09614052207557,-0.817082750837121,0.96382285905128,1.11881050136599,0.849394576946852,3.24091477344656e-05,2.87376527788693e-07,0.884659259166531,0.138501157570289,0.870521950495811,10.216701671666,AAPL,,,,,,,,,,,,,
-0.000655245562671837,-0.187394038854583,-0.0900719631309067,,,,,1.49533480108689e-05,0.0118164371719782,0.870785704012527,0.196588120377232,,3.87824655321051,ABC,,,,,,,,,,,,,
-0.000631627520921812,,,,,,,9.51641467292414e-05,0.164855285604901,0.772174269257467,,,4.64733133331351,ABMD,,,,,,,,,,,,,
4.87018891652581e-05,0.842642702507596,,,-0.899171490161346,,,1.30392402292065e-05,2.69038827007668e-06,0.877094278544721,0.146764065745815,,6.29555991551935,ABT,,,,,,,,,,,,,
-0.000126514146138284,-0.596969636565088,-0.0445651853355942,,0.573218975368102,,,1.35137105290773e-05,0.0018433390721155,0.895568009334513,0.14896701652333,,8.268784930469,ADBE,,,,,,,,,,,,,
-0.000431119404657462,,,,-0.10893222246595,,,5.92129438172558e-06,0.0522173242550679,0.946782366629468,,,4.04050400027277,ADI,,,,,,,,,,,,,
-8.51236174118152e-05,,,,-0.00929405837404934,-0.00366507412567533,,1.46661537945281e-05,0.0843038023649479,0.901731976772008,,,4.51293822381468,ADM,,,,,,,,,,,,,
6.29426549533381e-05,,,,-0.0789696695641142,-0.0338057661460193,0.065745433518442,1.07921430716553e-05,0.119123042827173,0.856994462440158,,,4.64211675088852,ADP,-0.0172869360957415,-0.0777120896176451,,,,,,,,,,,
-1.86112588501995e-05,,,,-0.108975044958671,,,1.45085370317493e-05,0.011461602425495,0.909567448066942,0.118994570611287,,5.78846958158284,ADSK,,,,,,,,,,,,,
1.4505331542816e-05,-0.442040772023993,-0.15173111898318,,0.353913982558896,,,5.07858807792759e-07,0.0615720785049109,0.692846392113499,,0.921201323685466,6.62407169744684,AEE,,,0.992066596029155,0.0971298691195473,,,,,,,,,
-1.25394700423972e-05,0.0032215707700273,-1.0084811299528,,-0.124263448222403,1.01546361401891,-0.111400546122186,1.01514428686328e-05,0.017570093996075,0.85188146390626,0.183012916266501,,12.1697870717851,AEP,,,,,,,,,,,,,
-0.000304830217005793,-0.881360117644592,,,0.811669064314948,-0.0270819299962963,-0.0160473211186902,3.20350422139478e-05,0.00897870861288186,0.830824674628082,0.225700679010767,,5.45647535529031,AES,,,,,,,,,,,,,
0.000533898067602435,,,,-0.146833074365479,-0.0978256590365317,,1.96676217354953e-05,0.0282881197578844,0.812724915353866,0.315973908296516,,3.46991303090257,AFL,,,,,,,,,,,,,
-0.000101360695481394,0.0697688335146902,-0.00964017144884041,0.0375105297554006,,,,6.19860501786088e-06,0.106840333798483,0.734604994474401,,,4.07588268201582,AIG,,,,,-0.0411190941614753,-0.0489263723290722,-0.0899820151875226,0.0609635800582081,0.157554609299096,,,,
-9.24942503107611e-05,0.627386638698513,,,-0.753995024352318,,,7.79870032148122e-06,0.143154129997007,0.855845769582697,,,3.97120559451229,AJG,,,,,,,,,,,,,
-0.00127033313275892,,,,,,,5.69138858148036e-06,0.0309636899175861,0.968036304069565,,,4.08695969824831,AKAM,,,,,,,,,,,,,
0.000318645759274458,,,,,,,0.000201674615197653,0.482874685490083,0.516123392209771,,,3.09298671150094,ALB,,,,,,,,,,,,,
-0.00106934840521314,0.990280573912792,,,-1.0982462896481,0.0815279659158026,,8.46566057389733e-06,0.173549158314686,0.780844055150601,0.0892086774290135,,5.13336893774737,ALL,,,,,,,,,,,,,
6.73462223621537e-05,,,,,,,2.30532389670038e-05,0.0117819323214257,0.987218067222605,,,2.25979906621935,ALXN,,,,,,,,,,,,,
-0.00033338836036489,,,,-0.103182193096066,,,1.26801371210069e-05,0.0850487028537651,0.899291900023363,,,6.34354948586122,AMAT,,,,,,,,,,,,,
-0.00181112786662459,0.525445808114267,-1.01278361428955,0.102538266058594,-0.449368867536051,1.04270465873707,,2.48496458921042e-05,0.12952613272195,0.863891676208838,,,6.56458261530363,AMD,,,,,,,,,,,,,
0.000742353598195802,,,,,,,4.83501117628257e-06,0.0755686177743594,0.923414961004665,,,4.98933397007358,AME,,,,,,,,,,,,,
-0.000253400954467,0.0131589484941871,-0.0447478597582004,0.0213693687790306,,,,5.94811560989892e-05,0.229464275577239,0.697597203954991,,,3.22724687389544,AMGN,,,,,,,,,,,,,
