mu,omega,alpha1,beta1,gamma1,skew,shape,tick,ar1,ma1,ma2,alpha2,beta2,ar2,ar3,ar4,ar5,ma3,gamma2,eta11,eta21,ar6,ma4,ar7,ar8
-3.53354369521423e-06,1.19904856981585e-05,1.15782128034071e-07,0.882564454112297,0.11614615030254,0.829323936305249,8.11594701140982,A,,,,,,,,,,,,,,,,,
0.000130977581542717,5.17390702750576e-05,1.09112014302125e-13,0.866578974522409,0.073646750200355,,5.24713530429881,AAL,,,,,,,,,,,,,,,,,
0.000370726876379449,1.51808656504617e-06,0.00634924703750345,0.988468336847351,,,2.90901091243955,AAP,,,,,,,,,,,,,,,,,
0.000271125521693542,1.29024306063915e-05,0.0154680802085823,0.849269832767413,0.179038370775835,,4.82893827908368,AAPL,,,,,,,,,,,,,,,,,
0.000674903794961269,2.50045431504729e-05,0.220723075460905,0.749178918890558,,,3.78506462796599,ABBV,,,,,,,,,,,,,,,,,
0.000705977126963761,4.54550364049992e-05,0.212723261168177,0.617065806895104,,,3.09577886289341,ABC,,,,,,,,,,,,,,,,,
0.00179017750338087,8.2327505828776e-06,0.0163567520657871,0.972735578961579,,,2.88914166883505,ABMD,,,,,,,,,,,,,,,,,
0.000372504293805058,1.31327670148832e-05,1.43949387703686e-07,0.874735258620892,0.111782784305809,,3.97550329354541,ABT,,,,,,,,,,,,,,,,,
0.000473092304579548,3.09487907930015e-05,9.16165779654311e-12,0.717938923234752,0.277396466259353,,3.68143783099499,ACN,,,,,,,,,,,,,,,,,
0.000722456314839955,2.24314757881674e-05,0.171014207896385,0.739873377587731,,0.894482438499881,4.7122584169487,ADBE,0.920322778663368,-0.980883389939255,-0.0357261481434895,,,,,,,,,,,,,,
0.000292138895216553,1.01542374052625e-05,2.54861904074187e-07,0.924760723390099,0.102769020928303,,3.53688530287981,ADI,,,,,,,,,,,,,,,,,
-0.000314571089750836,2.4733958779669e-05,0.136464888501432,0.781705670014354,,0.860891649650578,5.03538469405486,ADM,,,,,,,,,,,,,,,,,
0.000568307564597309,2.41306807693989e-05,5.60233362790189e-13,0.681020190609049,0.296387178267877,,4.7741532042463,ADP,,,,,,,,,,,,,,,,,
0.000201248705795716,4.35274765123837e-05,2.71485119221061e-09,0.813632444250611,0.185394888345222,,4.05822018806172,ADSK,,,,,,,,,,,,,,,,,
0.000153527502163865,2.65882878950817e-05,0.0990541845850397,0.723767157876928,,0.81490753040896,7.28847573782356,AEE,,,,,,,,,,,,,,,,,
