mu,ar,ma,arfima,archm,mxreg,omega,alpha,beta,gamma,eta1,eta2,delta,lambda,vxreg,skew,shape,ghlambda,xi,aux,aux,aux,distribution,distno,vmodel,tick
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3,,std,3,sGARCH,AAPL
1,6,5,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3,,std,3,sGARCH,ABC
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,4,,sstd,4,sGARCH,ABMD
1,4,4,0,0,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0,3,,std,3,gjrGARCH,ABT
1,4,2,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,3,,std,3,gjrGARCH,ADBE
1,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,3,,std,3,gjrGARCH,ADI
1,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3,,std,3,sGARCH,ADM
1,0,2,0,0,0,1,2,2,2,0,0,0,0,0,1,1,0,0,0,4,,sstd,4,gjrGARCH,ADP
1,1,3,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,4,,sstd,4,gjrGARCH,ADSK
1,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3,,std,3,sGARCH,AEE
1,4,4,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,3,,std,3,gjrGARCH,AEP
1,2,3,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,3,,std,3,gjrGARCH,AES
1,2,4,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,4,,sstd,4,sGARCH,AFL
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3,,std,3,sGARCH,AIG
1,4,2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3,,std,3,sGARCH,AJG
1,3,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,4,,sstd,4,sGARCH,AKAM
1,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3,,std,3,sGARCH,ALB
1,2,4,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,4,,sstd,4,gjrGARCH,ALL
1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,3,,std,3,gjrGARCH,ALXN
1,1,4,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3,,std,3,sGARCH,AMAT
1,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3,,std,3,sGARCH,AMD
1,3,5,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3,,std,3,sGARCH,AME
1,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3,,std,3,sGARCH,AMGN
1,0,5,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3,,std,3,sGARCH,AMT
1,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3,,std,3,sGARCH,AMZN
1,4,2,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,4,,sstd,4,gjrGARCH,ANSS
1,2,2,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,3,,std,3,gjrGARCH,AON
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3,,std,3,sGARCH,AOS
1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,4,,sstd,4,gjrGARCH,APA
1,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3,,std,3,sGARCH,APD
1,2,4,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,4,,sstd,4,gjrGARCH,APH
1,2,2,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,4,,sstd,4,gjrGARCH,ARE
1,4,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,4,,sstd,4,sGARCH,ATO
1,1,2,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,4,,sstd,4,sGARCH,ATVI
